@relation 'acciones'
@attribute 'accion' { 'luz', 'calefaccion', 'aire-acondicionado', 'planchado', 'secado'}
@attribute 'estancia' {'salon', 'cocina', 'dormitorio_principal', 'pasillo', 'dormitorio_secundario' }
@attribute 'tiempo' numeric
@attribute 'tarifa' numeric
@attribute 'usuario' {'u1','u2','u3','u4'}
@data
'luz','salon',5,0.15,'u1'
'luz','cocina',111,0.099,'u1'
'planchado','dormitorio_principal',23,0.099,'u1'
'calefaccion','dormitorio_principal',34,0.139,'u1'
'calefaccion','dormitorio_principal',23,0.139,'u1'
'planchado','cocina',83,0.15,'u1'
'secado','cocina',94,0.139,'u1'
'calefaccion','pasillo',29,0.139,'u1'
'planchado','pasillo',78,0.099,'u1'
'secado','cocina',36,0.099,'u1'
'secado','cocina',64,0.15,'u1'
'secado','pasillo',76,0.15,'u1'
'secado','cocina',77,0.099,'u1'
'secado','dormitorio_principal',90,0.099,'u1'
'planchado','salon',13,0.139,'u1'
'planchado','dormitorio_principal',60,0.15,'u1'
'calefaccion','dormitorio_principal',53,0.15,'u1'
'secado','pasillo',109,0.15,'u1'
'planchado','salon',68,0.099,'u1'
'calefaccion','cocina',81,0.15,'u1'
'calefaccion','dormitorio_secundario',62,0.099,'u1'
'secado','pasillo',34,0.15,'u1'
'planchado','cocina',49,0.15,'u1'
'secado','dormitorio_principal',119,0.099,'u1'
'secado','pasillo',57,0.15,'u1'
'calefaccion','cocina',120,0.139,'u1'
'secado','salon',95,0.15,'u1'
'calefaccion','pasillo',27,0.15,'u1'
'secado','salon',71,0.15,'u1'
'secado','pasillo',5,0.15,'u1'
'luz','cocina',78,0.15,'u1'
'planchado','cocina',75,0.15,'u1'
'calefaccion','dormitorio_secundario',67,0.099,'u1'
'planchado','pasillo',91,0.139,'u1'
'calefaccion','salon',62,0.139,'u1'
'secado','pasillo',79,0.099,'u1'
'luz','dormitorio_principal',80,0.099,'u1'
'luz','dormitorio_secundario',69,0.139,'u1'
'calefaccion','dormitorio_secundario',47,0.099,'u1'
'secado','cocina',103,0.139,'u1'
'planchado','salon',73,0.099,'u1'
'luz','dormitorio_secundario',66,0.099,'u1'
'luz','cocina',94,0.099,'u1'
'calefaccion','salon',60,0.15,'u1'
'calefaccion','dormitorio_principal',99,0.139,'u1'
'planchado','salon',106,0.15,'u1'
'luz','dormitorio_principal',3,0.099,'u1'
'planchado','pasillo',13,0.15,'u1'
'luz','dormitorio_secundario',101,0.099,'u1'
'secado','salon',75,0.139,'u1'
'calefaccion','salon',45,0.139,'u1'
'secado','dormitorio_secundario',52,0.15,'u1'
'luz','dormitorio_principal',13,0.099,'u1'
'luz','salon',69,0.15,'u1'
'planchado','cocina',79,0.15,'u1'
'calefaccion','dormitorio_principal',43,0.15,'u1'
'secado','pasillo',15,0.139,'u1'
'planchado','dormitorio_principal',73,0.15,'u1'
'luz','salon',114,0.139,'u1'
'planchado','dormitorio_principal',51,0.15,'u1'
'luz','pasillo',4,0.15,'u1'
'secado','dormitorio_principal',29,0.099,'u1'
'secado','pasillo',32,0.15,'u1'
'planchado','salon',68,0.139,'u1'
'luz','cocina',68,0.099,'u1'
'planchado','salon',24,0.15,'u1'
'secado','cocina',10,0.099,'u1'
'secado','pasillo',48,0.099,'u1'
'calefaccion','pasillo',114,0.15,'u1'
'luz','pasillo',26,0.139,'u1'
'luz','pasillo',55,0.15,'u1'
'luz','dormitorio_principal',116,0.15,'u1'
'secado','pasillo',113,0.15,'u1'
'planchado','cocina',36,0.139,'u1'
'luz','salon',48,0.15,'u1'
'secado','cocina',68,0.15,'u1'
'secado','dormitorio_principal',63,0.15,'u1'
'luz','dormitorio_secundario',71,0.15,'u1'
'planchado','cocina',45,0.099,'u1'
'planchado','salon',49,0.15,'u1'
'luz','pasillo',67,0.099,'u1'
'calefaccion','dormitorio_principal',19,0.099,'u1'
'luz','dormitorio_secundario',50,0.15,'u1'
'secado','salon',3,0.15,'u1'
'secado','salon',42,0.099,'u1'
'planchado','dormitorio_principal',105,0.15,'u1'
'calefaccion','salon',70,0.099,'u1'
'calefaccion','dormitorio_principal',58,0.099,'u1'
'secado','pasillo',66,0.099,'u1'
'calefaccion','dormitorio_principal',5,0.15,'u1'
'calefaccion','dormitorio_secundario',55,0.139,'u1'
'planchado','cocina',25,0.099,'u1'
'secado','cocina',17,0.139,'u1'
'calefaccion','salon',47,0.099,'u1'
'planchado','salon',27,0.15,'u1'
'calefaccion','dormitorio_secundario',10,0.099,'u1'
'planchado','salon',75,0.15,'u1'
'planchado','dormitorio_secundario',117,0.139,'u1'
'secado','pasillo',58,0.15,'u1'
'calefaccion','salon',16,0.099,'u1'
'planchado','dormitorio_secundario',5,0.139,'u1'
'secado','salon',109,0.099,'u1'
'luz','cocina',80,0.15,'u1'
'luz','dormitorio_secundario',10,0.139,'u1'
'calefaccion','salon',108,0.139,'u1'
'planchado','cocina',97,0.099,'u1'
'secado','cocina',75,0.099,'u1'
'luz','cocina',93,0.099,'u1'
'secado','cocina',9,0.15,'u1'
'planchado','cocina',106,0.099,'u1'
'secado','salon',31,0.15,'u1'
'secado','dormitorio_secundario',44,0.15,'u1'
'planchado','dormitorio_principal',5,0.099,'u1'
'calefaccion','pasillo',60,0.15,'u1'
'planchado','cocina',94,0.15,'u1'
'luz','dormitorio_secundario',92,0.15,'u1'
'calefaccion','pasillo',50,0.099,'u1'
'luz','dormitorio_principal',23,0.099,'u1'
'luz','cocina',64,0.099,'u1'
'secado','dormitorio_principal',102,0.099,'u1'
'luz','cocina',73,0.099,'u1'
'secado','dormitorio_secundario',11,0.139,'u1'
'luz','dormitorio_principal',97,0.099,'u1'
'luz','salon',63,0.099,'u1'
'planchado','pasillo',80,0.15,'u1'
'planchado','pasillo',101,0.15,'u1'
'planchado','salon',18,0.099,'u1'
'secado','salon',77,0.15,'u1'
'luz','dormitorio_secundario',12,0.15,'u1'
'planchado','dormitorio_principal',93,0.139,'u1'
'planchado','salon',70,0.15,'u1'
'secado','dormitorio_secundario',95,0.139,'u1'
'luz','pasillo',46,0.139,'u1'
'calefaccion','dormitorio_principal',6,0.15,'u1'
'planchado','pasillo',4,0.139,'u1'
'secado','dormitorio_secundario',90,0.15,'u1'
'planchado','dormitorio_principal',27,0.139,'u1'
'secado','pasillo',27,0.15,'u1'
'secado','salon',52,0.15,'u1'
'planchado','dormitorio_principal',18,0.15,'u1'
'planchado','salon',75,0.139,'u1'
'luz','cocina',66,0.099,'u1'
'planchado','cocina',31,0.15,'u1'
'secado','cocina',78,0.099,'u1'
'secado','dormitorio_secundario',16,0.139,'u1'
'luz','pasillo',12,0.139,'u1'
'planchado','dormitorio_principal',88,0.15,'u1'
'secado','dormitorio_secundario',24,0.139,'u1'
'secado','salon',32,0.139,'u1'
'secado','salon',94,0.15,'u1'
'planchado','dormitorio_secundario',106,0.15,'u1'
'luz','salon',108,0.15,'u1'
'planchado','cocina',60,0.099,'u1'
'calefaccion','pasillo',42,0.139,'u1'
'planchado','dormitorio_secundario',35,0.15,'u1'
'calefaccion','cocina',109,0.099,'u1'
'luz','dormitorio_secundario',100,0.15,'u1'
'calefaccion','dormitorio_secundario',57,0.139,'u1'
'calefaccion','pasillo',3,0.139,'u1'
'luz','salon',27,0.139,'u1'
'luz','pasillo',92,0.139,'u1'
'planchado','salon',15,0.15,'u1'
'secado','dormitorio_principal',25,0.099,'u1'
'luz','dormitorio_secundario',91,0.139,'u1'
'planchado','dormitorio_secundario',100,0.139,'u1'
'planchado','salon',6,0.139,'u1'
'luz','pasillo',90,0.15,'u1'
'planchado','pasillo',116,0.15,'u1'
'calefaccion','salon',6,0.15,'u1'
'calefaccion','cocina',43,0.15,'u1'
'calefaccion','dormitorio_secundario',61,0.15,'u1'
'secado','dormitorio_secundario',33,0.099,'u1'
'planchado','dormitorio_principal',116,0.15,'u1'
'calefaccion','salon',42,0.139,'u1'
'luz','pasillo',12,0.15,'u1'
'calefaccion','dormitorio_principal',53,0.139,'u1'
'planchado','dormitorio_secundario',44,0.15,'u1'
'luz','pasillo',76,0.15,'u1'
'secado','dormitorio_secundario',52,0.099,'u1'
'secado','pasillo',36,0.15,'u1'
'luz','pasillo',77,0.139,'u1'
'calefaccion','salon',95,0.15,'u1'
'luz','dormitorio_principal',34,0.139,'u1'
'luz','cocina',78,0.15,'u1'
'luz','dormitorio_principal',49,0.15,'u1'
'secado','dormitorio_secundario',114,0.099,'u1'
'calefaccion','dormitorio_secundario',32,0.139,'u1'
'secado','dormitorio_secundario',110,0.15,'u1'
'secado','cocina',14,0.139,'u1'
'secado','pasillo',9,0.099,'u1'
'calefaccion','salon',89,0.099,'u1'
'luz','dormitorio_principal',100,0.099,'u1'
'calefaccion','cocina',107,0.139,'u1'
'calefaccion','dormitorio_secundario',6,0.099,'u1'
'secado','dormitorio_principal',111,0.15,'u1'
'planchado','dormitorio_principal',90,0.15,'u1'
'planchado','dormitorio_secundario',108,0.15,'u1'
'calefaccion','pasillo',60,0.15,'u1'
'secado','dormitorio_principal',15,0.099,'u1'
'calefaccion','dormitorio_secundario',53,0.099,'u1'
'calefaccion','pasillo',112,0.099,'u1'
'planchado','cocina',79,0.15,'u1'
'secado','dormitorio_principal',71,0.099,'u1'
'planchado','dormitorio_principal',90,0.15,'u1'
'luz','pasillo',73,0.099,'u1'
'planchado','cocina',37,0.15,'u1'
'secado','pasillo',113,0.099,'u1'
'planchado','pasillo',61,0.139,'u1'
'secado','dormitorio_principal',3,0.15,'u1'
'calefaccion','dormitorio_principal',104,0.099,'u1'
'calefaccion','pasillo',85,0.15,'u1'
'secado','salon',43,0.15,'u1'
'planchado','salon',7,0.15,'u1'
'calefaccion','dormitorio_secundario',96,0.099,'u1'
'luz','salon',98,0.15,'u1'
'planchado','cocina',32,0.099,'u1'
'calefaccion','salon',25,0.139,'u1'
'luz','salon',64,0.139,'u1'
'secado','dormitorio_principal',75,0.139,'u1'
'planchado','dormitorio_principal',35,0.099,'u1'
'secado','salon',42,0.099,'u1'
'planchado','dormitorio_principal',35,0.15,'u1'
'luz','cocina',93,0.139,'u1'
'planchado','dormitorio_secundario',58,0.15,'u1'
'luz','dormitorio_principal',48,0.139,'u1'
'calefaccion','dormitorio_secundario',87,0.15,'u1'
'calefaccion','dormitorio_secundario',54,0.139,'u1'
'secado','cocina',78,0.139,'u1'
'calefaccion','dormitorio_principal',59,0.139,'u1'
'luz','pasillo',17,0.139,'u1'
'secado','pasillo',88,0.099,'u1'
'planchado','cocina',33,0.139,'u1'
'secado','dormitorio_secundario',7,0.15,'u1'
'luz','cocina',96,0.15,'u1'
'secado','dormitorio_principal',27,0.099,'u1'
'calefaccion','dormitorio_secundario',111,0.15,'u1'
'calefaccion','dormitorio_secundario',70,0.099,'u1'
'calefaccion','pasillo',62,0.15,'u1'
'planchado','dormitorio_principal',16,0.139,'u1'
'planchado','pasillo',93,0.099,'u1'
'luz','cocina',47,0.099,'u1'
'calefaccion','dormitorio_secundario',32,0.139,'u1'
'planchado','dormitorio_principal',57,0.15,'u1'
'calefaccion','dormitorio_principal',64,0.099,'u1'
'secado','dormitorio_secundario',57,0.139,'u1'
'secado','pasillo',57,0.099,'u1'
'secado','salon',83,0.15,'u1'
'calefaccion','salon',60,0.15,'u1'
'planchado','pasillo',102,0.15,'u1'
'secado','pasillo',83,0.099,'u1'
'luz','salon',61,0.15,'u1'
'calefaccion','dormitorio_secundario',112,0.139,'u1'
'secado','dormitorio_principal',25,0.139,'u1'
'secado','cocina',60,0.139,'u1'
'calefaccion','cocina',90,0.099,'u1'
'planchado','dormitorio_secundario',83,0.15,'u1'
'luz','cocina',59,0.15,'u1'
'secado','dormitorio_secundario',30,0.139,'u1'
'planchado','dormitorio_principal',45,0.099,'u1'
'secado','salon',8,0.15,'u1'
'secado','salon',48,0.139,'u1'
'calefaccion','dormitorio_secundario',94,0.139,'u1'
'planchado','dormitorio_principal',77,0.139,'u1'
'luz','dormitorio_principal',94,0.139,'u1'
'secado','cocina',93,0.139,'u1'
'calefaccion','dormitorio_secundario',17,0.099,'u1'
'planchado','salon',117,0.099,'u1'
'secado','pasillo',100,0.139,'u1'
'luz','salon',85,0.15,'u1'
'planchado','salon',11,0.15,'u1'
'planchado','pasillo',44,0.139,'u1'
'secado','pasillo',12,0.099,'u1'
'luz','cocina',6,0.15,'u1'
'calefaccion','cocina',40,0.15,'u1'
'secado','cocina',47,0.139,'u1'
'planchado','pasillo',9,0.15,'u1'
'calefaccion','pasillo',48,0.15,'u1'
'calefaccion','dormitorio_secundario',3,0.15,'u1'
'calefaccion','dormitorio_secundario',53,0.15,'u1'
'planchado','salon',20,0.15,'u1'
'secado','pasillo',114,0.099,'u1'
'calefaccion','salon',79,0.15,'u1'
'luz','dormitorio_secundario',59,0.099,'u1'
'calefaccion','pasillo',61,0.139,'u1'
'luz','pasillo',78,0.139,'u1'
'luz','pasillo',65,0.15,'u1'
'luz','salon',91,0.15,'u1'
'planchado','cocina',3,0.099,'u1'
'planchado','dormitorio_principal',88,0.15,'u1'
'planchado','pasillo',39,0.15,'u1'
'luz','dormitorio_principal',100,0.099,'u1'
'luz','pasillo',78,0.139,'u1'
'calefaccion','salon',38,0.139,'u1'
'calefaccion','dormitorio_secundario',93,0.099,'u1'
'luz','salon',50,0.139,'u1'
'calefaccion','dormitorio_principal',80,0.099,'u1'
'luz','cocina',112,0.15,'u1'
'calefaccion','dormitorio_secundario',3,0.099,'u1'
'secado','pasillo',42,0.15,'u1'
'calefaccion','dormitorio_principal',11,0.139,'u1'
'calefaccion','dormitorio_principal',42,0.099,'u1'
'secado','dormitorio_secundario',4,0.139,'u1'
'calefaccion','dormitorio_secundario',13,0.139,'u1'
'luz','pasillo',80,0.15,'u1'
'luz','salon',89,0.139,'u1'
'luz','dormitorio_secundario',97,0.139,'u1'
'planchado','salon',52,0.15,'u1'
'secado','cocina',118,0.099,'u1'
'luz','cocina',96,0.139,'u1'
'planchado','pasillo',99,0.099,'u1'
'secado','pasillo',29,0.099,'u1'
'planchado','dormitorio_secundario',40,0.099,'u1'
'planchado','dormitorio_secundario',118,0.15,'u1'
'planchado','salon',41,0.139,'u1'
'secado','pasillo',84,0.139,'u1'
'planchado','cocina',21,0.099,'u1'
'secado','dormitorio_principal',115,0.139,'u1'
'planchado','dormitorio_principal',62,0.139,'u1'
'secado','salon',76,0.099,'u1'
'planchado','dormitorio_principal',21,0.139,'u1'
'calefaccion','dormitorio_principal',54,0.139,'u1'
'calefaccion','cocina',80,0.15,'u1'
'calefaccion','cocina',64,0.139,'u1'
'calefaccion','cocina',61,0.099,'u1'
'luz','pasillo',97,0.099,'u1'
'secado','cocina',11,0.099,'u1'
'planchado','salon',24,0.099,'u1'
'calefaccion','dormitorio_secundario',77,0.139,'u1'
'planchado','cocina',78,0.099,'u1'
'luz','dormitorio_secundario',77,0.15,'u1'
'luz','dormitorio_principal',113,0.099,'u1'
'luz','pasillo',85,0.15,'u1'
'calefaccion','dormitorio_principal',110,0.099,'u1'
'calefaccion','pasillo',36,0.099,'u1'
'secado','pasillo',90,0.099,'u1'
'planchado','dormitorio_secundario',86,0.139,'u1'
'luz','cocina',63,0.139,'u1'
'luz','dormitorio_secundario',1,0.15,'u1'
'planchado','cocina',14,0.15,'u1'
'planchado','pasillo',110,0.139,'u1'
'secado','pasillo',39,0.15,'u1'
'calefaccion','salon',51,0.139,'u1'
'calefaccion','dormitorio_secundario',25,0.099,'u1'
'secado','cocina',111,0.099,'u1'
'luz','cocina',84,0.15,'u1'
'luz','dormitorio_secundario',36,0.139,'u1'
'calefaccion','cocina',102,0.15,'u1'
'calefaccion','dormitorio_secundario',55,0.15,'u1'
'calefaccion','salon',54,0.139,'u1'
'secado','cocina',81,0.099,'u1'
'luz','salon',38,0.15,'u1'
'planchado','cocina',117,0.139,'u1'
'calefaccion','salon',101,0.15,'u1'
'planchado','salon',55,0.099,'u1'
'luz','salon',71,0.139,'u1'
'secado','dormitorio_secundario',72,0.15,'u1'
'planchado','salon',100,0.099,'u1'
'planchado','dormitorio_secundario',22,0.15,'u1'
'calefaccion','salon',89,0.139,'u1'
'luz','dormitorio_principal',64,0.139,'u1'
'luz','salon',76,0.139,'u1'
'luz','dormitorio_secundario',93,0.15,'u1'
'secado','pasillo',64,0.15,'u1'
'planchado','pasillo',101,0.15,'u1'
'luz','salon',15,0.15,'u1'
'calefaccion','salon',3,0.139,'u1'
'secado','dormitorio_principal',117,0.139,'u1'
'planchado','salon',51,0.15,'u1'
'calefaccion','salon',24,0.099,'u1'
'luz','pasillo',117,0.099,'u1'
'secado','pasillo',3,0.15,'u1'
'planchado','dormitorio_principal',83,0.15,'u1'
'planchado','cocina',48,0.139,'u1'
'planchado','dormitorio_principal',33,0.15,'u1'
'planchado','cocina',15,0.139,'u1'
'planchado','dormitorio_secundario',114,0.139,'u1'
'luz','dormitorio_principal',111,0.139,'u1'
'calefaccion','cocina',13,0.15,'u1'
'planchado','dormitorio_principal',109,0.15,'u1'
'calefaccion','salon',84,0.139,'u1'
'calefaccion','dormitorio_principal',99,0.099,'u1'
'secado','dormitorio_principal',86,0.15,'u1'
'planchado','cocina',65,0.139,'u1'
'secado','salon',106,0.139,'u1'
'calefaccion','dormitorio_secundario',55,0.139,'u1'
'secado','dormitorio_principal',56,0.099,'u1'
'calefaccion','pasillo',2,0.099,'u1'
'calefaccion','pasillo',116,0.15,'u1'
'secado','dormitorio_principal',82,0.139,'u1'
'secado','dormitorio_principal',31,0.139,'u1'
'planchado','dormitorio_principal',60,0.139,'u1'
'calefaccion','salon',111,0.139,'u1'
'secado','pasillo',44,0.15,'u1'
'secado','dormitorio_secundario',58,0.099,'u1'
'calefaccion','cocina',14,0.15,'u1'
'calefaccion','cocina',11,0.15,'u1'
'secado','pasillo',54,0.099,'u1'
'secado','dormitorio_principal',71,0.099,'u1'
'luz','dormitorio_secundario',96,0.139,'u1'
'secado','cocina',34,0.099,'u1'
'luz','dormitorio_principal',51,0.15,'u1'
'luz','dormitorio_principal',84,0.139,'u1'
'secado','pasillo',29,0.15,'u1'
'secado','pasillo',47,0.099,'u1'
'luz','dormitorio_secundario',32,0.15,'u1'
'luz','dormitorio_secundario',80,0.15,'u1'
'secado','cocina',109,0.139,'u1'
'planchado','dormitorio_principal',98,0.15,'u1'
'planchado','salon',68,0.099,'u1'
'calefaccion','cocina',46,0.139,'u1'
'calefaccion','salon',52,0.15,'u1'
'planchado','dormitorio_secundario',56,0.099,'u1'
'calefaccion','pasillo',82,0.139,'u1'
'calefaccion','cocina',111,0.139,'u1'
'secado','dormitorio_principal',35,0.139,'u1'
'planchado','dormitorio_principal',64,0.139,'u1'
'calefaccion','salon',67,0.099,'u1'
'calefaccion','dormitorio_secundario',45,0.15,'u1'
'luz','salon',4,0.15,'u1'
'secado','dormitorio_secundario',52,0.139,'u1'
'calefaccion','cocina',31,0.139,'u1'
'planchado','dormitorio_secundario',58,0.099,'u1'
'luz','dormitorio_principal',17,0.15,'u1'
'calefaccion','dormitorio_principal',66,0.139,'u1'
'secado','dormitorio_principal',109,0.099,'u1'
'luz','pasillo',99,0.15,'u1'
'planchado','dormitorio_principal',61,0.139,'u1'
'planchado','pasillo',54,0.099,'u1'
'planchado','cocina',42,0.15,'u1'
'calefaccion','dormitorio_principal',111,0.139,'u1'
'planchado','dormitorio_principal',98,0.099,'u1'
'calefaccion','pasillo',4,0.139,'u1'
'calefaccion','salon',62,0.099,'u1'
'planchado','dormitorio_principal',99,0.15,'u1'
'calefaccion','pasillo',112,0.139,'u1'
'secado','cocina',27,0.099,'u1'
'luz','pasillo',102,0.139,'u1'
'secado','dormitorio_secundario',117,0.15,'u1'
'calefaccion','salon',56,0.15,'u1'
'secado','dormitorio_secundario',42,0.15,'u1'
'calefaccion','dormitorio_secundario',14,0.15,'u1'
'secado','pasillo',42,0.15,'u1'
'planchado','dormitorio_secundario',69,0.15,'u1'
'planchado','dormitorio_secundario',115,0.099,'u1'
'secado','pasillo',26,0.139,'u1'
'planchado','dormitorio_principal',22,0.099,'u1'
'secado','cocina',17,0.139,'u1'
'luz','salon',71,0.139,'u1'
'planchado','pasillo',112,0.139,'u1'
'secado','salon',54,0.15,'u1'
'luz','pasillo',99,0.139,'u1'
'calefaccion','dormitorio_principal',29,0.15,'u1'
'secado','dormitorio_principal',79,0.099,'u1'
'secado','salon',86,0.099,'u1'
'luz','dormitorio_secundario',32,0.099,'u1'
'secado','dormitorio_secundario',108,0.139,'u1'
'planchado','dormitorio_principal',65,0.15,'u1'
'calefaccion','pasillo',7,0.139,'u1'
'planchado','cocina',41,0.099,'u1'
'planchado','salon',71,0.139,'u1'
'secado','dormitorio_principal',48,0.15,'u1'
'planchado','salon',102,0.15,'u1'
'secado','cocina',10,0.15,'u1'
'calefaccion','pasillo',9,0.099,'u1'
'planchado','dormitorio_secundario',3,0.099,'u1'
'calefaccion','dormitorio_secundario',60,0.139,'u1'
'secado','cocina',96,0.099,'u1'
'secado','dormitorio_secundario',75,0.099,'u1'
'luz','dormitorio_secundario',2,0.139,'u1'
'secado','salon',117,0.15,'u1'
'planchado','dormitorio_secundario',59,0.139,'u1'
'calefaccion','pasillo',75,0.15,'u1'
'luz','dormitorio_secundario',11,0.15,'u1'
'calefaccion','salon',40,0.139,'u1'
'planchado','salon',56,0.139,'u1'
'luz','pasillo',119,0.15,'u1'
'calefaccion','salon',72,0.15,'u1'
'luz','dormitorio_principal',29,0.15,'u1'
'secado','cocina',102,0.099,'u1'
'secado','pasillo',46,0.099,'u1'
'luz','dormitorio_secundario',47,0.099,'u1'
'luz','dormitorio_secundario',13,0.139,'u1'
'secado','salon',8,0.099,'u1'
'calefaccion','salon',120,0.139,'u1'
'secado','pasillo',107,0.139,'u1'
'planchado','dormitorio_secundario',32,0.15,'u1'
'planchado','dormitorio_principal',102,0.139,'u1'
'secado','salon',100,0.139,'u1'
'luz','dormitorio_principal',100,0.15,'u1'
'calefaccion','pasillo',87,0.099,'u1'
'calefaccion','pasillo',15,0.15,'u1'
'planchado','salon',30,0.15,'u1'
'secado','cocina',22,0.139,'u1'
'planchado','pasillo',107,0.099,'u1'
'secado','dormitorio_principal',35,0.139,'u1'
'luz','dormitorio_principal',57,0.139,'u1'
'calefaccion','dormitorio_principal',118,0.139,'u1'
'secado','cocina',74,0.099,'u1'
'secado','pasillo',102,0.099,'u1'
'luz','salon',116,0.139,'u1'
'luz','pasillo',102,0.099,'u1'
'calefaccion','dormitorio_principal',68,0.15,'u1'
'calefaccion','dormitorio_principal',70,0.15,'u1'
'secado','salon',108,0.15,'u1'
'calefaccion','cocina',84,0.139,'u1'
'luz','dormitorio_secundario',31,0.099,'u1'
'luz','dormitorio_principal',58,0.15,'u1'
'planchado','cocina',108,0.139,'u1'
'calefaccion','cocina',94,0.139,'u1'
'planchado','dormitorio_secundario',110,0.15,'u1'
'planchado','dormitorio_secundario',92,0.15,'u1'
'luz','cocina',56,0.15,'u1'
'secado','dormitorio_principal',117,0.099,'u1'
'calefaccion','dormitorio_principal',40,0.15,'u1'
'secado','dormitorio_secundario',73,0.139,'u1'
'secado','salon',100,0.15,'u1'
'calefaccion','salon',11,0.099,'u1'
'secado','dormitorio_secundario',52,0.139,'u1'
'calefaccion','dormitorio_principal',22,0.15,'u1'
'luz','dormitorio_secundario',19,0.139,'u1'
'secado','salon',20,0.139,'u1'
'luz','dormitorio_principal',18,0.139,'u1'
'planchado','dormitorio_secundario',108,0.099,'u1'
'calefaccion','pasillo',108,0.139,'u1'
'luz','pasillo',114,0.15,'u1'
'calefaccion','dormitorio_secundario',100,0.139,'u1'
'secado','pasillo',104,0.099,'u1'
'luz','salon',88,0.099,'u1'
'secado','salon',46,0.099,'u1'
'secado','dormitorio_principal',29,0.099,'u1'
'planchado','dormitorio_secundario',66,0.139,'u1'
'planchado','cocina',55,0.099,'u1'
'calefaccion','dormitorio_secundario',88,0.099,'u1'
'secado','cocina',86,0.099,'u1'
'planchado','salon',106,0.139,'u1'
'luz','cocina',52,0.139,'u1'
'calefaccion','pasillo',98,0.15,'u1'
'luz','salon',7,0.099,'u1'
'planchado','pasillo',32,0.15,'u1'
'calefaccion','pasillo',99,0.099,'u1'
'planchado','cocina',113,0.139,'u1'
'luz','dormitorio_principal',43,0.139,'u1'
'luz','cocina',16,0.099,'u1'
'calefaccion','dormitorio_principal',35,0.139,'u1'
'secado','pasillo',17,0.139,'u1'
'calefaccion','salon',116,0.099,'u1'
'calefaccion','dormitorio_principal',37,0.139,'u1'
'calefaccion','dormitorio_secundario',71,0.139,'u1'
'luz','dormitorio_secundario',60,0.099,'u1'
'secado','dormitorio_principal',94,0.139,'u1'
'secado','dormitorio_principal',51,0.139,'u1'
'planchado','cocina',102,0.15,'u1'
'secado','salon',9,0.15,'u1'
'secado','pasillo',88,0.139,'u1'
'calefaccion','dormitorio_principal',108,0.139,'u1'
'planchado','dormitorio_principal',83,0.139,'u1'
'luz','salon',48,0.139,'u1'
'secado','salon',118,0.099,'u1'
'secado','pasillo',120,0.139,'u1'
'planchado','salon',98,0.15,'u1'
'luz','pasillo',90,0.099,'u1'
'planchado','dormitorio_secundario',97,0.15,'u1'
'secado','pasillo',96,0.15,'u1'
'secado','dormitorio_principal',53,0.139,'u1'
'luz','dormitorio_secundario',1,0.139,'u1'
'planchado','pasillo',118,0.099,'u1'
'calefaccion','cocina',63,0.139,'u1'
'secado','salon',87,0.099,'u1'
'planchado','dormitorio_secundario',105,0.139,'u1'
'luz','dormitorio_secundario',101,0.15,'u1'
'calefaccion','dormitorio_secundario',101,0.15,'u1'
'luz','dormitorio_principal',99,0.15,'u1'
'luz','cocina',99,0.099,'u1'
'secado','dormitorio_principal',52,0.15,'u1'
'luz','salon',105,0.15,'u1'
'planchado','salon',66,0.139,'u1'
'calefaccion','salon',21,0.139,'u1'
'calefaccion','salon',94,0.15,'u1'
'secado','dormitorio_principal',48,0.139,'u1'
'luz','dormitorio_secundario',111,0.099,'u1'
'planchado','cocina',3,0.139,'u1'
'calefaccion','cocina',63,0.15,'u1'
'planchado','cocina',106,0.139,'u1'
'luz','dormitorio_principal',13,0.139,'u1'
'planchado','pasillo',77,0.139,'u1'
'planchado','dormitorio_secundario',18,0.15,'u1'
'luz','pasillo',66,0.139,'u1'
'luz','pasillo',16,0.15,'u1'
'secado','dormitorio_secundario',80,0.139,'u1'
'luz','salon',62,0.15,'u1'
'secado','dormitorio_secundario',24,0.099,'u1'
'planchado','dormitorio_secundario',31,0.139,'u1'
'calefaccion','dormitorio_secundario',45,0.139,'u1'
'planchado','pasillo',107,0.139,'u1'
'secado','salon',83,0.139,'u1'
'calefaccion','dormitorio_principal',117,0.139,'u1'
'luz','salon',18,0.099,'u1'
'secado','pasillo',12,0.139,'u1'
'luz','pasillo',117,0.099,'u1'
'planchado','cocina',3,0.099,'u1'
'planchado','salon',29,0.15,'u1'
'calefaccion','dormitorio_principal',8,0.099,'u1'
'planchado','salon',18,0.099,'u1'
'planchado','cocina',38,0.139,'u1'
'secado','dormitorio_secundario',20,0.15,'u1'
'planchado','cocina',3,0.139,'u1'
'planchado','pasillo',24,0.15,'u1'
'planchado','dormitorio_principal',106,0.139,'u1'
'calefaccion','dormitorio_secundario',20,0.15,'u1'
'luz','salon',27,0.139,'u1'
'luz','cocina',113,0.15,'u1'
'calefaccion','cocina',8,0.099,'u1'
'calefaccion','dormitorio_secundario',89,0.15,'u1'
'calefaccion','cocina',68,0.139,'u1'
'secado','dormitorio_principal',88,0.15,'u1'
'calefaccion','pasillo',34,0.15,'u1'
'planchado','dormitorio_secundario',100,0.15,'u1'
'calefaccion','pasillo',30,0.099,'u1'
'planchado','pasillo',38,0.15,'u1'
'luz','dormitorio_principal',90,0.139,'u1'
'calefaccion','pasillo',56,0.15,'u1'
